Student_ID,Future,Aging,PROGRAM,DEGREE,COLLEGE,bb_activity_latest,bb_gip_etc_ratio_std,cum_gpa,cum_credits,ba_credits_passed_prior1yr,ba_age,Gender,cp_prior3mon_pay_cnt,cp_prior3mon_pay_total,payment_auto_flag,risk,NATION_DESC,ind,current_balance,module_cp,day_since_end,in_module,day_since_begin,in_future,day_to_begin,in_dissertation
J00053760,1161.11,0,MS_SHRM,MS,MG,3,119.96470283,2.2,20,10.473529412,50,F,1,1161.11,0,0,CANADA,9,0,2,107,1,71,1,27,0
J00053762,0,30,MPH,MPH,PH,3,,2.3,20,3.9257188498,45,F,0,0,0,0,NIGERIA,7,1161.11,2,46,1,10,0,365,0
J00053762,1161.11,0,MPH,MPH,PH,2,90.632901933,2.3,20,7.3367272727,45,F,0,0,0,0,NIGERIA,9,0,2,107,1,71,1,27,0
J00053762,0,30,MPH,MPH,PH,33,98.717397557,2.3,20,7.3785078713,45,F,0,0,0,0,NIGERIA,10,1161.11,2,19,1,4,0,365,0
J00053769,1148.33,0,MS_PRJ,MS,MG,3,108.65008633,1.9,0,8.48606466,26,M,0,0,0,0,UGANDA,9,0,2,86,1,71,1,27,0
J00053769,0,30,MS_PRJ,MS,MG,34,86.920069064,1.9,0,8.5976768743,26,M,0,0,0,0,UGANDA,10,1148.33,3,19,1,4,0,365,0
J00053770,1161.11,0,MBA,MBA,MG,1,108.29731572,2.4,20,11.708907741,38,M,1,1161.11,0,0,SENEGAL,9,0,2,107,1,71,1,27,0
J00053772,0,30,MBA,MBA,MG,3,,2.4,20,8.0389972145,38,M,1,1161,0,0,NIGERIA,7,1161.11,2,46,1,10,0,365,0
J00053772,1161.11,0,MBA,MBA,MG,1,116.1604402,2.4,20,11.708907741,38,M,1,1161.11,0,1,NIGERIA,9,0,2,107,1,71,1,27,0
J00053772,0,30,MBA,MBA,MG,32,115.33227694,2.4,20,11.817073171,38,M,1,1161.11,0,1,NIGERIA,10,1161.11,3,19,1,4,0,365,0
J00053778,1161.11,90,MBA,MBA,MG,3,95.266303035,2.3,20,7.8059384942,27,F,1,1128.18,0,0,NIGERIA,9,32.93,2,107,1,71,1,27,0
J00053778,0,120,MBA,MBA,MG,34,102.4849668,2.3,20,7.8780487805,27,F,0,0,0,0,NIGERIA,10,1194.04,3,19,1,4,0,365,0
J00053781,0,330,MBA,MBA,MG,144,,1.7,0,0,42,M,0,0,0,1,CANADA,7,1161.11,1,172,0,365,0,365,0
J00053781,0,330,MBA,MBA,MG,175,98.920005696,1.7,0,0,42,M,0,0,0,1,CANADA,8,1161.11,1,203,0,365,0,365,0
J00053781,0,330,MBA,MBA,MG,205,98.920005696,1.7,0,0,42,M,0,0,0,1,CANADA,9,1161.11,1,233,0,365,0,365,0
J00053781,0,330,MBA,MBA,MG,236,98.920005696,1.7,0,0,42,M,0,0,0,1,CANADA,10,1161.11,1,264,0,365,0,365,0
J00053783,0,330,MPH,MPH,PH,123,,1.9,0,0,30,M,0,0,0,1,OMAN,7,661.11,1,158,0,365,0,365,0
J00053783,0,330,MPH,MPH,PH,154,59.152204117,1.9,0,0,30,M,0,0,0,1,OMAN,8,661.11,1,189,0,365,0,365,0
J00053783,0,330,MPH,MPH,PH,184,59.152204117,1.9,0,0,30,M,0,0,0,1,OMAN,9,661.11,1,219,0,365,0,365,0
J00053783,0,330,MPH,MPH,PH,215,59.152204117,1.9,0,0,30,M,0,0,0,1,OMAN,10,661.11,1,250,0,365,0,365,0
J00053790,1161.11,0,MBA,MBA,MG,3,175.79055277,0.0,0,7.8059384942,42,F,1,1161.11,0,0,GHANA,9,0,1,107,1,71,1,27,0
J00053790,0,30,MBA,MBA,MG,34,160.85540857,0.0,0,7.8780487805,42,F,0,0,0,0,GHANA,10,1161.11,2,19,1,4,0,365,0
J00053791,1161.11,0,MPH,MPH,PH,3,109.42593709,2.5,20,11.005090909,51,F,1,1161.11,0,1,CANADA,9,0,2,107,1,71,1,27,0
J00053791,0,30,MPH,MPH,PH,34,109.32996272,2.5,20,11.067761807,51,F,0,0,0,0,CANADA,10,1161.11,3,19,1,4,0,365,0
J00053794,1158.33,0,MPH,MPH,PH,118,69.165777667,2.2,20,3.6683636364,33,F,0,0,0,1,ZIMBABWE,9,0,2,107,0,365,0,365,0
J00053794,0,30,MPH,MPH,PH,149,69.165777667,2.2,20,3.6892539357,33,F,0,0,0,0,ZIMBABWE,10,1158.33,2,138,0,365,0,365,0
J00053795,0,330,MPH,MPH,PH,229,,0.0,0,0,33,M,0,0,0,1,NIGERIA,7,661.11,1,158,0,365,0,365,0
J00053795,0,330,MPH,MPH,PH,260,49.211518042,0.0,0,0,33,M,0,0,0,1,NIGERIA,8,661.11,1,189,0,365,0,365,0
J00053795,0,330,MPH,MPH,PH,290,49.211518042,0.0,0,0,33,M,0,0,0,1,NIGERIA,9,661.11,1,219,0,365,0,365,0
J00053795,0,330,MPH,MPH,PH,321,49.211518042,0.0,0,0,33,M,0,0,0,1,NIGERIA,10,661.11,1,250,0,365,0,365,0
J00053796,1161.11,0,MBA,MBA,MG,3,109.04940123,2.4,20,7.8059384942,34,F,2,1161.11,0,0,NIGERIA,9,0,2,107,1,71,1,27,0
J00053796,0,30,MBA,MBA,MG,34,132.83952099,2.4,20,7.8780487805,34,F,0,0,0,0,NIGERIA,10,1161.11,3,19,1,4,0,365,0
J00053797,366.67,0,MBA,MBA,MG,3,110.07064173,2.5,20,3.9029692471,39,M,1,366.67,0,1,UNITED STATES,9,0,2,107,1,71,0,365,0
J00053798,0,30,MS_SSCM,MS,MG,1,,3.1,20,4.2350746269,33,M,1,300,0,1,NIGERIA,7,861.11,1,158,1,10,0,365,0
J00053798,0,60,MS_SSCM,MS,MG,1,158.9890311,3.1,20,7.8392857143,33,M,1,300,0,1,NIGERIA,8,861.11,1,189,1,41,0,365,0
J00053798,0,90,MS_SSCM,MS,MG,3,158.9890311,3.1,20,7.9375,33,M,1,300,0,1,NIGERIA,9,861.11,1,219,1,71,0,365,0
J00053798,0,120,MS_SSCM,MS,MG,34,158.9890311,3.1,20,8.0933333333,33,M,0,0,0,1,NIGERIA,10,861.11,2,19,0,365,0,365,0
J00053799,0,30,MPH,MPH,PH,1,,2.4,20,3.9257188498,35,M,1,661.11,0,0,NAMIBIA,7,500,2,46,1,10,0,365,0
J00053799,1161.11,0,MPH,MPH,PH,1,112.95441383,2.4,20,7.3367272727,35,M,2,1161.11,0,0,NAMIBIA,9,0,2,107,1,71,1,27,0
J00053803,1161.11,0,MS_ISM,MS,MG,3,126.70597018,2.5,20,10.392857143,48,M,0,0,0,0,ZIMBABWE,9,0,2,107,1,71,1,27,0
J00053805,0,30,MS_ISM,MS,MG,365,,0.0,0,0,43,M,0,0,0,1,NIGERIA,9,1333.33,0,365,0,365,0,365,0
J00053806,0,30,MPH,MPH,PH,24,,2.4,20,3.9257188498,31,F,0,0,0,1,NIGERIA,7,1161.11,2,46,1,24,0,365,0
J00053809,1161.11,0,MS_SHRM,MS,MG,2,97.416118032,2.5,20,10.473529412,31,M,1,1161.11,0,0,NIGERIA,9,0,2,107,1,71,1,27,0
